Probability,Images,Name
47.98,"['Joao_Felix_0_1482.jpg', 'Kylian_Mbappe_0_8925.jpg']","['Joao Felix', 'Kylian Mbappe']"
64.52,"['Jan_Oblak_0_5745.jpg', 'sterling12.jpg']","['Jan Oblak', 'Raheem Sterling']"
45.12,"['Jurgen_Klopp_0_4366.jpg', 'firmino12.jpg']","['Jurgen Klopp', 'Roberto Firmino']"
49.95,"['Jurgen_Klopp_0_4077.jpg', 'Toni_Kroos_0_8003.jpg']","['Jurgen Klopp', 'Toni Kroos']"
51.42,"['ronaldinho12.jpg', 'courtois1.jpg']","['Ronaldinho', 'Thibaut Courtois']"
68.27,"['David_Silva_0_3894.jpg', 'Giorgio_Chiellini_0_2030.jpg']","['David Silva', 'Giorgio Chiellini']"
65.13,"['Javier_Mascherano_0_2141.jpg', 'Jan_Oblak_0_7501.jpg']","['Javier Mascherano', 'Jan Oblak']"
40.86,"['Bernd_Leno_0_71.jpg', 'Thomas_Lemar_0_3311.jpg']","['Bernd Leno', 'Thomas Lemar']"
61.64,"['Eden_Hazard_0_8385.jpg', 'Christian_Eriksen_0_4998.jpg']","['Eden Hazard', 'Christian Eriksen']"
59.43,"['Toni_Kroos_0_5340.jpg', 'Marco_Reus_0_4468.jpg']","['Toni Kroos', 'Marco Reus']"
53.52,"['Oliver_Kahn_0_4754.jpg', 'Luis_Figo_0_1616.jpg']","['Oliver Kahn', 'Luis Figo']"
58.78,"['Ronaldo_0_7250.jpg', 'Peter_Schmeichel_0_125.jpg']","['Ronaldo', 'Peter Schmeichel']"
62.18,"['Fernando_Torres_0_5513.jpg', 'Sadio_Mane_0_8500.jpg']","['Fernando Torres', 'Sadio Mane']"
58.42,"['Raul_0_5561.jpg', 'messi12.jpg']","['Raul', 'Lionel Messi']"
49.73,"['Thomas_Muller_0_179.jpg', 'Pep_Guardiola_0_8409.jpg']","['Thomas Muller', 'Pep Guardiola']"
61.86,"['John_Terry_0_1038.jpg', 'Georginio_Wijnaldum_0_5900.jpg']","['John Terry', 'Georginio Wijnaldum']"
53.2,"['Raul_0_8159.jpg', 'Ryan_Giggs_0_7738.jpg']","['Raul', 'Ryan Giggs']"
48.54,"['Oliver_Kahn_0_3942.jpg', 'Vincent_Kompany_0_4187.jpg']","['Oliver Kahn', 'Vincent Kompany']"
44.52,"['Gerard_Pique_0_5806.jpg', 'coutinho12.jpg']","['Gerard Pique', 'Philippe Coutinho']"
46.7,"['muller12.jpg', 'Raheem_Sterling_0_6930.jpg']","['Thomas Muller', 'Raheem Sterling']"
74.59,"['Gerard_Pique_0_2088.jpg', 'Sergio_Augero_0_9130.jpg']","['Gerard Pique', 'Sergio Augero']"
64.13,"['torres12.jpg', 'Robbie_Fowler_0_6438.jpg']","['Fernando Torres', 'Robbie Fowler']"
68.75,"['Thiago_Silva_0_6070.jpg', 'Paulo_Dybala_0_7840.jpg']","['Thiago Silva', 'Paulo Dybala']"
56.6,"['luiz12.jpg', 'Roberto_Carlos_0_8154.jpg']","['David Luiz', 'Roberto Carlos']"
74.19,"['Giorgio_Chiellini_0_8604.jpg', 'Hugo_Lloris_0_2944.jpg']","['Giorgio Chiellini', 'Hugo Lloris']"
73.91,"['Luka_Modric_0_5431.jpg', 'schmeichel12.jpg']","['Luka Modric', 'Peter Schmeichel']"
54.45,"['Joao_Felix_0_2319.jpg', 'Thomas_Lemar_0_4954.jpg']","['Joao Felix', 'Thomas Lemar']"
67.8,"['Javier_Mascherano_0_9666.jpg', 'Pierre_Emerick_Aubameyang_0_7702.jpg']","['Javier Mascherano', 'Pierre Emerick Aubameyang']"
64.62,"['Frank_Lampard_0_8754.jpg', 'Manuel_Neuer_0_9156.jpg']","['Frank Lampard', 'Manuel Neuer']"
66.21,"['Gerard_Pique_0_8464.jpg', 'Pep_Guardiola_0_3356.jpg']","['Gerard Pique', 'Pep Guardiola']"
51.63,"['Xabi_Alonso_0_8135.jpg', 'Wayne_Rooney_0_4161.jpg']","['Xabi Alonso', 'Wayne Rooney']"
49.35,"['Jurgen_Klopp_0_1197.jpg', 'Julian_Draxler_0_9859.jpg']","['Jurgen Klopp', 'Julian Draxler']"
50.2,"['Jose_Mourinho_0_5041.jpg', 'Luis Suarez_0_9118.jpg']","['Jose Mourinho', 'Luis Suarez']"
44.7,"['John_Terry_0_8023.jpg', 'henry12.jpg']","['John Terry', 'Thierry Henry']"
43.93,"['Bernd_Leno_0_9222.jpg', 'Heung_Min_Son_0_3713.jpg']","['Bernd Leno', 'Heung Min Son']"
71.36,"['Thibaut_Courtois_0_4385.jpg', 'Javier_Mascherano_0_9854.jpg']","['Thibaut Courtois', 'Javier Mascherano']"
63.42,"['Cristiano_Ronaldo_0_8808.jpg', 'Falcao_0_8683.jpg']","['Cristiano Ronaldo', 'Falcao']"
55.47,"['Alexis_Sanchez_0_4910.jpg', 'Paulo_Dybala_0_3921.jpg']","['Alexis Sanchez', 'Paulo Dybala']"
62.21,"['Zinedine_Zidane_0_8812.jpg', 'Gianluigi_Buffon_0_698.jpg']","['Zinedine Zidane', 'Gianluigi Buffon']"
59.66,"['Hugo_Lloris_0_3294.jpg', 'Gerard_Pique_0_7762.jpg']","['Hugo Lloris', 'Gerard Pique']"
46.68,"['Kylian_Mbappe_0_966.jpg', 'Harry_Kane_0_5364.jpg']","['Kylian Mbappe', 'Harry Kane']"
50.1,"['Kevin_de_Bruyne_0_7602.jpg', 'Luis Suarez_0_6801.jpg']","['Kevin de Bruyne', 'Luis Suarez']"
61.46,"['Ryan_Giggs_0_2137.jpg', 'Kalidou_Koulibaly_0_2642.jpg']","['Ryan Giggs', 'Kalidou Koulibaly']"
53.99,"['Robert_Lewandowski_0_266.jpg', 'Thierry_Henry_0_5068.jpg']","['Robert Lewandowski', 'Thierry Henry']"
