Probability,Images,Name
72.24,"['Georginio_Wijnaldum_0_8266.jpg', 'Georginio_Wijnaldum_0_6501.jpg']",Georginio Wijnaldum
85.49,"['figo12.jpg', 'Luis_Figo_0_2402.jpg']",Luis Figo
87.59,"['Antoine_Griezmann_0_8255.jpg', 'Antoine_Griezmann_0_8601.jpg']",Antoine Griezmann
65.13,"['Oliver_Giroud_0_4493.jpg', 'Oliver_Giroud_0_6753.jpg']",Oliver Giroud
87.26,"['Luis_Figo_0_3136.jpg', 'Luis_Figo_0_716.jpg']",Luis Figo
92.12,"['Robert_Lewandowski_0_152.jpg', 'Robert_Lewandowski_0_4458.jpg']",Robert Lewandowski
56.22,"['Luka_Modric_0_8062.jpg', 'modric12.jpg']",Luka Modric
75.94,"['Sadio_Mane_0_8500.jpg', 'Sadio_Mane_0_8440.jpg']",Sadio Mane
90.74,"['Leroy_Sane_0_5350.jpg', 'Leroy_Sane_0_2355.jpg']",Leroy Sane
92.84,"['Iker_Casillas_0_3372.jpg', 'Iker_Casillas_0_9222.jpg']",Iker Casillas
47.07,"['Christian_Eriksen_0_5959.jpg', 'Christian_Eriksen_0_379.jpg']",Christian Eriksen
74.83,"['Paul_Pogba_0_8169.jpg', 'Paul_Pogba_0_3851.jpg']",Paul Pogba
83.99,"['Ronaldinho_0_8893.jpg', 'Ronaldinho_0_7731.jpg']",Ronaldinho
73.83,"['Sadio_Mane_0_8595.jpg', 'Sadio_Mane_0_7980.jpg']",Sadio Mane
94.04,"['Leroy_Sane_0_9821.jpg', 'Leroy_Sane_0_5350.jpg']",Leroy Sane
88.46,"['muller12.jpg', 'Thomas_Muller_0_2950.jpg']",Thomas Muller
97.9,"['ibrahimovic12.jpg', 'Zlatan_Ibrahimovic_0_4904.jpg']",Zlatan Ibrahimovic
52.8,"['Lionel_Messi_0_9978.jpg', 'Lionel_Messi_0_4624.jpg']",Lionel Messi
84.93,"['Eden_Hazard_0_9971.jpg', 'hazard1.jpg']",Eden Hazard
84.43,"['lemar12.jpg', 'Thomas_Lemar_0_8050.jpg']",Thomas Lemar
87.32,"['Didier_Drogba_0_3613.jpg', 'Didier_Drogba_0_1836.jpg']",Didier Drogba
86.31,"['Julian_Draxler_0_7446.jpg', 'Julian_Draxler_0_8401.jpg']",Julian Draxler
91.05,"['Heung_Min_Son_0_3713.jpg', 'Heung_Min_Son_0_4321.jpg']",Heung Min Son
84.46,"['Luis_Figo_0_716.jpg', 'Luis_Figo_0_3477.jpg']",Luis Figo
84.46,"['Kai_Havertz_0_3367.jpg', 'Kai_Havertz_0_3359.jpg']",Kai Havertz
61.09,"['Pep_Guardiola_0_5669.jpg', 'Pep_Guardiola_0_4888.jpg']",Pep Guardiola
73.72,"['Michael_Owen_0_5232.jpg', 'Michael_Owen_0_8695.jpg']",Michael Owen
74.79,"['Robert_Pires_0_1695.jpg', 'Robert_Pires_0_8454.jpg']",Robert Pires
63.46,"['Robert_Lewandowski_0_152.jpg', 'Robert_Lewandowski_0_1894.jpg']",Robert Lewandowski
83.76,"['Roberto_Firmino_0_4904.jpg', 'Roberto_Firmino_0_2427.jpg']",Roberto Firmino
88.86,"['Alisson_Becker_0_5821.jpg', 'Alisson_Becker_0_65.jpg']",Alisson Becker
87.05,"['Thomas_Tuchel_0_7135.jpg', 'Thomas_Tuchel_0_9753.jpg']",Thomas Tuchel
73.01,"['Luis Suarez_0_1867.jpg', 'Luis Suarez_0_9009.jpg']",Luis Suarez
85.85,"['Heung_Min_Son_0_9308.jpg', 'Heung_Min_Son_0_9709.jpg']",Heung Min Son
90.67,"['Raheem_Sterling_0_1968.jpg', 'Raheem_Sterling_0_3071.jpg']",Raheem Sterling
67.82,"['Bernd_Leno_0_4446.jpg', 'leno12.jpg']",Bernd Leno
60.21,"['Petr_Cech_0_3994.jpg', 'Petr_Cech_0_9036.jpg']",Petr Cech
89.7,"['Mohammad_Salah_0_3177.jpg', 'Mohammad_Salah_0_6323.jpg']",Mohammad Salah
87.23,"['Gerard_Pique_0_5806.jpg', 'Gerard_Pique_0_4500.jpg']",Gerard Pique
86.83,"['Paulo_Dybala_0_6776.jpg', 'Paulo_Dybala_0_3969.jpg']",Paulo Dybala
64.45,"['Iker_Casillas_0_9828.jpg', 'Iker_Casillas_0_7371.jpg']",Iker Casillas
82.58,"['Falcao_0_6430.jpg', 'Falcao_0_8105.jpg']",Falcao
50.49,"['Roberto_Firmino_0_4904.jpg', 'Roberto_Firmino_0_7347.jpg']",Roberto Firmino
95.66,"['Marco_Reus_0_6111.jpg', 'Marco_Reus_0_4468.jpg']",Marco Reus
53.15,"['Raul_0_9473.jpg', 'Raul_0_8159.jpg']",Raul
58.33,"['Ederson_Moraes_0_797.jpg', 'Ederson_Moraes_0_2933.jpg']",Ederson Moraes
53.15,"['Raul_0_8159.jpg', 'Raul_0_9473.jpg']",Raul
69.62,"['Michael_Owen_0_2365.jpg', 'Michael_Owen_0_5616.jpg']",Michael Owen
76.67,"['David_Beckham_0_1965.jpg', 'David_Beckham_0_6207.jpg']",David Beckham
78.35,"['Mohammad_Salah_0_6375.jpg', 'Mohammad_Salah_0_3177.jpg']",Mohammad Salah
60.84,"['Manuel_Neuer_0_3017.jpg', 'Manuel_Neuer_0_3790.jpg']",Manuel Neuer
65.41,"['Luis Suarez_0_1028.jpg', 'Luis Suarez_0_9858.jpg']",Luis Suarez
81.79,"['Roberto_Carlos_0_3414.jpg', 'Roberto_Carlos_0_417.jpg']",Roberto Carlos
58.22,"['Zinedine_Zidane_0_1985.jpg', 'Zinedine_Zidane_0_9203.jpg']",Zinedine Zidane
94.89,"['Manuel_Neuer_0_7078.jpg', 'Manuel_Neuer_0_6214.jpg']",Manuel Neuer
83.16,"['Gareth_Bale_0_3038.jpg', 'Gareth_Bale_0_2816.jpg']",Gareth Bale
91.65,"['Ronaldinho_0_9051.jpg', 'ronaldinho12.jpg']",Ronaldinho
58.62,"['David_Silva_0_9044.jpg', 'David_Silva_0_4220.jpg']",David Silva
84.14,"['Iker_Casillas_0_3438.jpg', 'Iker_Casillas_0_396.jpg']",Iker Casillas
69.71,"['Karim_Benzema_0_7446.jpg', 'Karim_Benzema_0_9148.jpg']",Karim Benzema
83.56,"['depay1.jpg', 'Memphis_Depay_0_3520.jpg']",Memphis Depay
71.12,"['leno12.jpg', 'Bernd_Leno_0_9460.jpg']",Bernd Leno
57.76,"['Christian_Eriksen_0_379.jpg', 'Christian_Eriksen_0_4998.jpg']",Christian Eriksen
70.94,"['Joao_Felix_0_9697.jpg', 'felix12.jpg']",Joao Felix
60.45,"['Jan_Oblak_0_8894.jpg', 'Jan_Oblak_0_4549.jpg']",Jan Oblak
90.62,"['Eden_Hazard_0_7562.jpg', 'Eden_Hazard_0_1976.jpg']",Eden Hazard
80.56,"['Alexis_Sanchez_0_4907.jpg', 'Alexis_Sanchez_0_8370.jpg']",Alexis Sanchez
83.06,"['Hugo_Lloris_0_8605.jpg', 'Hugo_Lloris_0_975.jpg']",Hugo Lloris
94.11,"['Alisson_Becker_0_6468.jpg', 'Alisson_Becker_0_9148.jpg']",Alisson Becker
75.19,"['Toni_Kroos_0_4633.jpg', 'Toni_Kroos_0_9021.jpg']",Toni Kroos
41.3,"['Robbie_Fowler_0_8000.jpg', 'Robbie_Fowler_0_2561.jpg']",Robbie Fowler
72.9,"['lukaku1.jpg', 'Romelu_Lukaku_0_2080.jpg']",Romelu Lukaku
75.61,"['Oliver_Kahn_0_2530.jpg', 'Oliver_Kahn_0_4754.jpg']",Oliver Kahn
87.74,"['benzema12.jpg', 'Karim_Benzema_0_1177.jpg']",Karim Benzema
81.79,"['schmeichel1.jpg', 'Peter_Schmeichel_0_3231.jpg']",Peter Schmeichel
92.37,"['Julian_Draxler_0_8965.jpg', 'Julian_Draxler_0_1399.jpg']",Julian Draxler
58.19,"['Roberto_Firmino_0_5923.jpg', 'Roberto_Firmino_0_4164.jpg']",Roberto Firmino
89.03,"['gerrard1.jpg', 'Steven_Gerrard_0_1460.jpg']",Steven Gerrard
76.26,"['Eden_Hazard_0_5971.jpg', 'Eden_Hazard_0_3860.jpg']",Eden Hazard
91.57,"['Raheem_Sterling_0_5930.jpg', 'Raheem_Sterling_0_3968.jpg']",Raheem Sterling
94.71,"['Thierry_Henry_0_2165.jpg', 'Thierry_Henry_0_5016.jpg']",Thierry Henry
87.76,"['Timo_Werner_0_7096.jpg', 'Timo_Werner_0_2842.jpg']",Timo Werner
95.07,"['Paulo_Dybala_0_5847.jpg', 'Paulo_Dybala_0_7981.jpg']",Paulo Dybala
52.23,"['Vincent_Kompany_0_1535.jpg', 'Vincent_Kompany_0_2933.jpg']",Vincent Kompany
46.1,"['Robbie_Fowler_0_3189.jpg', 'Robbie_Fowler_0_8719.jpg']",Robbie Fowler
82.57,"['Hugo_Lloris_0_975.jpg', 'Hugo_Lloris_0_2454.jpg']",Hugo Lloris
82.87,"['Alexandre_Lacazette_0_3554.jpg', 'Alexandre_Lacazette_0_3900.jpg']",Alexandre Lacazette
89.18,"['Toni_Kroos_0_9789.jpg', 'Toni_Kroos_0_3432.jpg']",Toni Kroos
57.66,"['Christian_Eriksen_0_4998.jpg', 'Christian_Eriksen_0_8530.jpg']",Christian Eriksen
75.55,"['Dries_Mertens_0_3636.jpg', 'Dries_Mertens_0_6916.jpg']",Dries Mertens
55.87,"['Eden_Hazard_0_9971.jpg', 'Eden_Hazard_0_4862.jpg']",Eden Hazard
