Probability,Images,Name
32.06,"['Joao_Felix_0_1482.jpg', 'Kylian_Mbappe_0_8925.jpg']","['Joao Felix', 'Kylian Mbappe']"
40.77,"['Jan_Oblak_0_5745.jpg', 'sterling12.jpg']","['Jan Oblak', 'Raheem Sterling']"
36.33,"['Jurgen_Klopp_0_4366.jpg', 'firmino12.jpg']","['Jurgen Klopp', 'Roberto Firmino']"
36.99,"['Jurgen_Klopp_0_4077.jpg', 'Toni_Kroos_0_8003.jpg']","['Jurgen Klopp', 'Toni Kroos']"
37.13,"['ronaldinho12.jpg', 'courtois1.jpg']","['Ronaldinho', 'Thibaut Courtois']"
61.36,"['David_Silva_0_3894.jpg', 'Giorgio_Chiellini_0_2030.jpg']","['David Silva', 'Giorgio Chiellini']"
58.74,"['Javier_Mascherano_0_2141.jpg', 'Jan_Oblak_0_7501.jpg']","['Javier Mascherano', 'Jan Oblak']"
27.96,"['Bernd_Leno_0_71.jpg', 'Thomas_Lemar_0_3311.jpg']","['Bernd Leno', 'Thomas Lemar']"
62.07,"['Eden_Hazard_0_8385.jpg', 'Christian_Eriksen_0_4998.jpg']","['Eden Hazard', 'Christian Eriksen']"
51.29,"['Toni_Kroos_0_5340.jpg', 'Marco_Reus_0_4468.jpg']","['Toni Kroos', 'Marco Reus']"
52.24,"['Oliver_Kahn_0_4754.jpg', 'Luis_Figo_0_1616.jpg']","['Oliver Kahn', 'Luis Figo']"
40.33,"['Ronaldo_0_7250.jpg', 'Peter_Schmeichel_0_125.jpg']","['Ronaldo', 'Peter Schmeichel']"
51.27,"['Fernando_Torres_0_5513.jpg', 'Sadio_Mane_0_8500.jpg']","['Fernando Torres', 'Sadio Mane']"
46.74,"['Raul_0_5561.jpg', 'messi12.jpg']","['Raul', 'Lionel Messi']"
34.38,"['Thomas_Muller_0_179.jpg', 'Pep_Guardiola_0_8409.jpg']","['Thomas Muller', 'Pep Guardiola']"
42.37,"['John_Terry_0_1038.jpg', 'Georginio_Wijnaldum_0_5900.jpg']","['John Terry', 'Georginio Wijnaldum']"
47.94,"['Raul_0_8159.jpg', 'Ryan_Giggs_0_7738.jpg']","['Raul', 'Ryan Giggs']"
38.31,"['Oliver_Kahn_0_3942.jpg', 'Vincent_Kompany_0_4187.jpg']","['Oliver Kahn', 'Vincent Kompany']"
34.07,"['Gerard_Pique_0_5806.jpg', 'coutinho12.jpg']","['Gerard Pique', 'Philippe Coutinho']"
28.79,"['muller12.jpg', 'Raheem_Sterling_0_6930.jpg']","['Thomas Muller', 'Raheem Sterling']"
67.34,"['Gerard_Pique_0_2088.jpg', 'Sergio_Augero_0_9130.jpg']","['Gerard Pique', 'Sergio Augero']"
60.72,"['torres12.jpg', 'Robbie_Fowler_0_6438.jpg']","['Fernando Torres', 'Robbie Fowler']"
49.26,"['Thiago_Silva_0_6070.jpg', 'Paulo_Dybala_0_7840.jpg']","['Thiago Silva', 'Paulo Dybala']"
57.92,"['luiz12.jpg', 'Roberto_Carlos_0_8154.jpg']","['David Luiz', 'Roberto Carlos']"
68.56,"['Giorgio_Chiellini_0_8604.jpg', 'Hugo_Lloris_0_2944.jpg']","['Giorgio Chiellini', 'Hugo Lloris']"
56.42,"['Luka_Modric_0_5431.jpg', 'schmeichel12.jpg']","['Luka Modric', 'Peter Schmeichel']"
33.94,"['Joao_Felix_0_2319.jpg', 'Thomas_Lemar_0_4954.jpg']","['Joao Felix', 'Thomas Lemar']"
58.12,"['Javier_Mascherano_0_9666.jpg', 'Pierre_Emerick_Aubameyang_0_7702.jpg']","['Javier Mascherano', 'Pierre Emerick Aubameyang']"
48.28,"['Frank_Lampard_0_8754.jpg', 'Manuel_Neuer_0_9156.jpg']","['Frank Lampard', 'Manuel Neuer']"
63.38,"['Gerard_Pique_0_8464.jpg', 'Pep_Guardiola_0_3356.jpg']","['Gerard Pique', 'Pep Guardiola']"
48.56,"['Xabi_Alonso_0_8135.jpg', 'Wayne_Rooney_0_4161.jpg']","['Xabi Alonso', 'Wayne Rooney']"
37.77,"['Jurgen_Klopp_0_1197.jpg', 'Julian_Draxler_0_9859.jpg']","['Jurgen Klopp', 'Julian Draxler']"
33.99,"['Jose_Mourinho_0_5041.jpg', 'Luis Suarez_0_9118.jpg']","['Jose Mourinho', 'Luis Suarez']"
26.5,"['John_Terry_0_8023.jpg', 'henry12.jpg']","['John Terry', 'Thierry Henry']"
31.43,"['Bernd_Leno_0_9222.jpg', 'Heung_Min_Son_0_3713.jpg']","['Bernd Leno', 'Heung Min Son']"
61.42,"['Thibaut_Courtois_0_4385.jpg', 'Javier_Mascherano_0_9854.jpg']","['Thibaut Courtois', 'Javier Mascherano']"
50.37,"['Cristiano_Ronaldo_0_8808.jpg', 'Falcao_0_8683.jpg']","['Cristiano Ronaldo', 'Falcao']"
45.88,"['Alexis_Sanchez_0_4910.jpg', 'Paulo_Dybala_0_3921.jpg']","['Alexis Sanchez', 'Paulo Dybala']"
41.89,"['Zinedine_Zidane_0_8812.jpg', 'Gianluigi_Buffon_0_698.jpg']","['Zinedine Zidane', 'Gianluigi Buffon']"
61.43,"['Hugo_Lloris_0_3294.jpg', 'Gerard_Pique_0_7762.jpg']","['Hugo Lloris', 'Gerard Pique']"
29.62,"['Kylian_Mbappe_0_966.jpg', 'Harry_Kane_0_5364.jpg']","['Kylian Mbappe', 'Harry Kane']"
