Image Path
"['dataset/train-valid-test/test/Joao_Felix/Joao_Felix_0_1482.jpg', 'dataset/train-valid-test/test/Kylian_Mbappe/Kylian_Mbappe_0_8925.jpg']"
"['dataset/train-valid-test/test/Jan_Oblak/Jan_Oblak_0_5745.jpg', 'dataset/train-valid-test/test/Raheem_Sterling/sterling12.jpg']"
"['dataset/train-valid-test/test/Jurgen_Klopp/Jurgen_Klopp_0_4366.jpg', 'dataset/train-valid-test/test/Roberto_Firmino/firmino12.jpg']"
"['dataset/train-valid-test/test/Jurgen_Klopp/Jurgen_Klopp_0_4077.jpg', 'dataset/train-valid-test/test/Toni_Kroos/Toni_Kroos_0_8003.jpg']"
"['dataset/train-valid-test/test/Ronaldinho/ronaldinho12.jpg', 'dataset/train-valid-test/test/Thibaut_Courtois/courtois1.jpg']"
"['dataset/train-valid-test/test/David_Silva/David_Silva_0_3894.jpg', 'dataset/train-valid-test/test/Giorgio_Chiellini/Giorgio_Chiellini_0_2030.jpg']"
"['dataset/train-valid-test/test/Javier_Mascherano/Javier_Mascherano_0_2141.jpg', 'dataset/train-valid-test/test/Jan_Oblak/Jan_Oblak_0_7501.jpg']"
"['dataset/train-valid-test/test/Bernd_Leno/Bernd_Leno_0_71.jpg', 'dataset/train-valid-test/test/Thomas_Lemar/Thomas_Lemar_0_3311.jpg']"
"['dataset/train-valid-test/test/Eden_Hazard/Eden_Hazard_0_8385.jpg', 'dataset/train-valid-test/test/Christian_Eriksen/Christian_Eriksen_0_4998.jpg']"
"['dataset/train-valid-test/test/Toni_Kroos/Toni_Kroos_0_5340.jpg', 'dataset/train-valid-test/test/Marco_Reus/Marco_Reus_0_4468.jpg']"
"['dataset/train-valid-test/test/Oliver_Kahn/Oliver_Kahn_0_4754.jpg', 'dataset/train-valid-test/test/Luis_Figo/Luis_Figo_0_1616.jpg']"
"['dataset/train-valid-test/test/Ronaldo/Ronaldo_0_7250.jpg', 'dataset/train-valid-test/test/Peter_Schmeichel/Peter_Schmeichel_0_125.jpg']"
"['dataset/train-valid-test/test/Fernando_Torres/Fernando_Torres_0_5513.jpg', 'dataset/train-valid-test/test/Sadio_Mane/Sadio_Mane_0_8500.jpg']"
"['dataset/train-valid-test/test/Raul/Raul_0_5561.jpg', 'dataset/train-valid-test/test/Lionel_Messi/messi12.jpg']"
"['dataset/train-valid-test/test/Thomas_Muller/Thomas_Muller_0_179.jpg', 'dataset/train-valid-test/test/Pep_Guardiola/Pep_Guardiola_0_8409.jpg']"
"['dataset/train-valid-test/test/John_Terry/John_Terry_0_1038.jpg', 'dataset/train-valid-test/test/Georginio_Wijnaldum/Georginio_Wijnaldum_0_5900.jpg']"
"['dataset/train-valid-test/test/Raul/Raul_0_8159.jpg', 'dataset/train-valid-test/test/Ryan_Giggs/Ryan_Giggs_0_7738.jpg']"
"['dataset/train-valid-test/test/Oliver_Kahn/Oliver_Kahn_0_3942.jpg', 'dataset/train-valid-test/test/Vincent_Kompany/Vincent_Kompany_0_4187.jpg']"
"['dataset/train-valid-test/test/Gerard_Pique/Gerard_Pique_0_5806.jpg', 'dataset/train-valid-test/test/Philippe_Coutinho/coutinho12.jpg']"
"['dataset/train-valid-test/test/Thomas_Muller/muller12.jpg', 'dataset/train-valid-test/test/Raheem_Sterling/Raheem_Sterling_0_6930.jpg']"
"['dataset/train-valid-test/test/Gerard_Pique/Gerard_Pique_0_2088.jpg', 'dataset/train-valid-test/test/Sergio_Augero/Sergio_Augero_0_9130.jpg']"
"['dataset/train-valid-test/test/Fernando_Torres/torres12.jpg', 'dataset/train-valid-test/test/Robbie_Fowler/Robbie_Fowler_0_6438.jpg']"
"['dataset/train-valid-test/test/Thiago_Silva/Thiago_Silva_0_6070.jpg', 'dataset/train-valid-test/test/Paulo_Dybala/Paulo_Dybala_0_7840.jpg']"
"['dataset/train-valid-test/test/David_Luiz/luiz12.jpg', 'dataset/train-valid-test/test/Roberto_Carlos/Roberto_Carlos_0_8154.jpg']"
"['dataset/train-valid-test/test/Giorgio_Chiellini/Giorgio_Chiellini_0_8604.jpg', 'dataset/train-valid-test/test/Hugo_Lloris/Hugo_Lloris_0_2944.jpg']"
"['dataset/train-valid-test/test/Luka_Modric/Luka_Modric_0_5431.jpg', 'dataset/train-valid-test/test/Peter_Schmeichel/schmeichel12.jpg']"
"['dataset/train-valid-test/test/Joao_Felix/Joao_Felix_0_2319.jpg', 'dataset/train-valid-test/test/Thomas_Lemar/Thomas_Lemar_0_4954.jpg']"
"['dataset/train-valid-test/test/Javier_Mascherano/Javier_Mascherano_0_9666.jpg', 'dataset/train-valid-test/test/Pierre_Emerick_Aubameyang/Pierre_Emerick_Aubameyang_0_7702.jpg']"
"['dataset/train-valid-test/test/Frank_Lampard/Frank_Lampard_0_8754.jpg', 'dataset/train-valid-test/test/Manuel_Neuer/Manuel_Neuer_0_9156.jpg']"
"['dataset/train-valid-test/test/Gerard_Pique/Gerard_Pique_0_8464.jpg', 'dataset/train-valid-test/test/Pep_Guardiola/Pep_Guardiola_0_3356.jpg']"
"['dataset/train-valid-test/test/Xabi_Alonso/Xabi_Alonso_0_8135.jpg', 'dataset/train-valid-test/test/Wayne_Rooney/Wayne_Rooney_0_4161.jpg']"
"['dataset/train-valid-test/test/Jurgen_Klopp/Jurgen_Klopp_0_1197.jpg', 'dataset/train-valid-test/test/Julian_Draxler/Julian_Draxler_0_9859.jpg']"
"['dataset/train-valid-test/test/Jose_Mourinho/Jose_Mourinho_0_5041.jpg', 'dataset/train-valid-test/test/Luis Suarez/Luis Suarez_0_9118.jpg']"
"['dataset/train-valid-test/test/John_Terry/John_Terry_0_8023.jpg', 'dataset/train-valid-test/test/Thierry_Henry/henry12.jpg']"
"['dataset/train-valid-test/test/Bernd_Leno/Bernd_Leno_0_9222.jpg', 'dataset/train-valid-test/test/Heung_Min_Son/Heung_Min_Son_0_3713.jpg']"
"['dataset/train-valid-test/test/Thibaut_Courtois/Thibaut_Courtois_0_4385.jpg', 'dataset/train-valid-test/test/Javier_Mascherano/Javier_Mascherano_0_9854.jpg']"
"['dataset/train-valid-test/test/Cristiano_Ronaldo/Cristiano_Ronaldo_0_8808.jpg', 'dataset/train-valid-test/test/Falcao/Falcao_0_8683.jpg']"
"['dataset/train-valid-test/test/Alexis_Sanchez/Alexis_Sanchez_0_4910.jpg', 'dataset/train-valid-test/test/Paulo_Dybala/Paulo_Dybala_0_3921.jpg']"
"['dataset/train-valid-test/test/Zinedine_Zidane/Zinedine_Zidane_0_8812.jpg', 'dataset/train-valid-test/test/Gianluigi_Buffon/Gianluigi_Buffon_0_698.jpg']"
"['dataset/train-valid-test/test/Hugo_Lloris/Hugo_Lloris_0_3294.jpg', 'dataset/train-valid-test/test/Gerard_Pique/Gerard_Pique_0_7762.jpg']"
