Probability,Images,Name
75.16,"['Georginio_Wijnaldum_0_8266.jpg', 'Georginio_Wijnaldum_0_6501.jpg']",Georginio Wijnaldum
89.09,"['figo12.jpg', 'Luis_Figo_0_2402.jpg']",Luis Figo
91.61,"['Antoine_Griezmann_0_8255.jpg', 'Antoine_Griezmann_0_8601.jpg']",Antoine Griezmann
73.49,"['Oliver_Giroud_0_4493.jpg', 'Oliver_Giroud_0_6753.jpg']",Oliver Giroud
90.39,"['Luis_Figo_0_3136.jpg', 'Luis_Figo_0_716.jpg']",Luis Figo
93.46,"['Robert_Lewandowski_0_152.jpg', 'Robert_Lewandowski_0_4458.jpg']",Robert Lewandowski
59.05,"['Luka_Modric_0_8062.jpg', 'modric12.jpg']",Luka Modric
68.64,"['Sadio_Mane_0_8500.jpg', 'Sadio_Mane_0_8440.jpg']",Sadio Mane
90.79,"['Leroy_Sane_0_5350.jpg', 'Leroy_Sane_0_2355.jpg']",Leroy Sane
94.74,"['Iker_Casillas_0_3372.jpg', 'Iker_Casillas_0_9222.jpg']",Iker Casillas
48.16,"['Christian_Eriksen_0_5959.jpg', 'Christian_Eriksen_0_379.jpg']",Christian Eriksen
75.97,"['Paul_Pogba_0_8169.jpg', 'Paul_Pogba_0_3851.jpg']",Paul Pogba
91.67,"['Ronaldinho_0_8893.jpg', 'Ronaldinho_0_7731.jpg']",Ronaldinho
66.33,"['Sadio_Mane_0_8595.jpg', 'Sadio_Mane_0_7980.jpg']",Sadio Mane
93.9,"['Leroy_Sane_0_9821.jpg', 'Leroy_Sane_0_5350.jpg']",Leroy Sane
94.23,"['muller12.jpg', 'Thomas_Muller_0_2950.jpg']",Thomas Muller
97.95,"['ibrahimovic12.jpg', 'Zlatan_Ibrahimovic_0_4904.jpg']",Zlatan Ibrahimovic
59.34,"['Lionel_Messi_0_9978.jpg', 'Lionel_Messi_0_4624.jpg']",Lionel Messi
90.04,"['Eden_Hazard_0_9971.jpg', 'hazard1.jpg']",Eden Hazard
90.46,"['lemar12.jpg', 'Thomas_Lemar_0_8050.jpg']",Thomas Lemar
93.03,"['Didier_Drogba_0_3613.jpg', 'Didier_Drogba_0_1836.jpg']",Didier Drogba
89.79,"['Julian_Draxler_0_7446.jpg', 'Julian_Draxler_0_8401.jpg']",Julian Draxler
91.91,"['Heung_Min_Son_0_3713.jpg', 'Heung_Min_Son_0_4321.jpg']",Heung Min Son
92.35,"['Luis_Figo_0_716.jpg', 'Luis_Figo_0_3477.jpg']",Luis Figo
89.93,"['Kai_Havertz_0_3367.jpg', 'Kai_Havertz_0_3359.jpg']",Kai Havertz
72.32,"['Pep_Guardiola_0_5669.jpg', 'Pep_Guardiola_0_4888.jpg']",Pep Guardiola
82.27,"['Michael_Owen_0_5232.jpg', 'Michael_Owen_0_8695.jpg']",Michael Owen
86.17,"['Robert_Pires_0_1695.jpg', 'Robert_Pires_0_8454.jpg']",Robert Pires
62.61,"['Robert_Lewandowski_0_152.jpg', 'Robert_Lewandowski_0_1894.jpg']",Robert Lewandowski
86.16,"['Roberto_Firmino_0_4904.jpg', 'Roberto_Firmino_0_2427.jpg']",Roberto Firmino
92.14,"['Alisson_Becker_0_5821.jpg', 'Alisson_Becker_0_65.jpg']",Alisson Becker
90.16,"['Thomas_Tuchel_0_7135.jpg', 'Thomas_Tuchel_0_9753.jpg']",Thomas Tuchel
83.23,"['Luis Suarez_0_1867.jpg', 'Luis Suarez_0_9009.jpg']",Luis Suarez
88.41,"['Heung_Min_Son_0_9308.jpg', 'Heung_Min_Son_0_9709.jpg']",Heung Min Son
94.25,"['Raheem_Sterling_0_1968.jpg', 'Raheem_Sterling_0_3071.jpg']",Raheem Sterling
74.2,"['Bernd_Leno_0_4446.jpg', 'leno12.jpg']",Bernd Leno
68.92,"['Petr_Cech_0_3994.jpg', 'Petr_Cech_0_9036.jpg']",Petr Cech
93.78,"['Mohammad_Salah_0_3177.jpg', 'Mohammad_Salah_0_6323.jpg']",Mohammad Salah
90.92,"['Gerard_Pique_0_5806.jpg', 'Gerard_Pique_0_4500.jpg']",Gerard Pique
92.56,"['Paulo_Dybala_0_6776.jpg', 'Paulo_Dybala_0_3969.jpg']",Paulo Dybala
76.04,"['Iker_Casillas_0_9828.jpg', 'Iker_Casillas_0_7371.jpg']",Iker Casillas
87.64,"['Falcao_0_6430.jpg', 'Falcao_0_8105.jpg']",Falcao
58.3,"['Roberto_Firmino_0_4904.jpg', 'Roberto_Firmino_0_7347.jpg']",Roberto Firmino
97.04,"['Marco_Reus_0_6111.jpg', 'Marco_Reus_0_4468.jpg']",Marco Reus
64.87,"['Raul_0_9473.jpg', 'Raul_0_8159.jpg']",Raul
64.59,"['Ederson_Moraes_0_797.jpg', 'Ederson_Moraes_0_2933.jpg']",Ederson Moraes
64.87,"['Raul_0_8159.jpg', 'Raul_0_9473.jpg']",Raul
75.61,"['Michael_Owen_0_2365.jpg', 'Michael_Owen_0_5616.jpg']",Michael Owen
83.19,"['David_Beckham_0_1965.jpg', 'David_Beckham_0_6207.jpg']",David Beckham
81.63,"['Mohammad_Salah_0_6375.jpg', 'Mohammad_Salah_0_3177.jpg']",Mohammad Salah
