Probability,Images,Name
51.06,"['Joao_Felix_0_1482.jpg', 'Kylian_Mbappe_0_8925.jpg']","['Joao Felix', 'Kylian Mbappe']"
51.52,"['Jan_Oblak_0_5745.jpg', 'sterling12.jpg']","['Jan Oblak', 'Raheem Sterling']"
44.41,"['Jurgen_Klopp_0_4366.jpg', 'firmino12.jpg']","['Jurgen Klopp', 'Roberto Firmino']"
41.88,"['Jurgen_Klopp_0_4077.jpg', 'Toni_Kroos_0_8003.jpg']","['Jurgen Klopp', 'Toni Kroos']"
47.26,"['ronaldinho12.jpg', 'courtois1.jpg']","['Ronaldinho', 'Thibaut Courtois']"
62.88,"['David_Silva_0_3894.jpg', 'Giorgio_Chiellini_0_2030.jpg']","['David Silva', 'Giorgio Chiellini']"
60.15,"['Javier_Mascherano_0_2141.jpg', 'Jan_Oblak_0_7501.jpg']","['Javier Mascherano', 'Jan Oblak']"
41.57,"['Bernd_Leno_0_71.jpg', 'Thomas_Lemar_0_3311.jpg']","['Bernd Leno', 'Thomas Lemar']"
54.35,"['Eden_Hazard_0_8385.jpg', 'Christian_Eriksen_0_4998.jpg']","['Eden Hazard', 'Christian Eriksen']"
60.98,"['Toni_Kroos_0_5340.jpg', 'Marco_Reus_0_4468.jpg']","['Toni Kroos', 'Marco Reus']"
51.06,"['Oliver_Kahn_0_4754.jpg', 'Luis_Figo_0_1616.jpg']","['Oliver Kahn', 'Luis Figo']"
53.5,"['Ronaldo_0_7250.jpg', 'Peter_Schmeichel_0_125.jpg']","['Ronaldo', 'Peter Schmeichel']"
60.76,"['Fernando_Torres_0_5513.jpg', 'Sadio_Mane_0_8500.jpg']","['Fernando Torres', 'Sadio Mane']"
56.19,"['Raul_0_5561.jpg', 'messi12.jpg']","['Raul', 'Lionel Messi']"
45.82,"['Thomas_Muller_0_179.jpg', 'Pep_Guardiola_0_8409.jpg']","['Thomas Muller', 'Pep Guardiola']"
